Experiment	ReleaseDate	TaxID	ScientificName	species_tax_id	class_tax_id	strain_tax_id	species	LibraryLayout	Platform	Model	Run	SRAStudy	BioProject	ProjectID	Sample	BioSample	Submission	LibraryStrategy	LibrarySelection	LibrarySource	Body_Site	CenterName	InsertSize	InsertDev	SRA ID	GEO Series	GEO Sample	PMID	Biosample ID	biosample_strain	biosample_genotype	reference_sequence	project_name	condition_name	strain_description	base_media	carbon_source	nitrogen_source	aerobicity	supplement	temperature	pH	growth_phase	OD	additional_notes	R1	R2
SRX2769888	2017-04-29 11:30:14	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina Genome Analyzer IIx	SRR5486987	SRP105449	PRJNA372989	372989	SRS2153429	SAMN06314526	SRA557924	RNA-Seq	RANDOM	TRANSCRIPTOMIC		JGI	0	0	3993291				6314526	PCC 7942																	
SRX2769889	2017-04-29 11:26:14	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina Genome Analyzer IIx	SRR5486988	SRP105449	PRJNA372989	372989	SRS2153429	SAMN06314526	SRA557924	RNA-Seq	RANDOM	TRANSCRIPTOMIC		JGI	0	0	3993292				6314526	PCC 7942																	
SRX2769890	2017-04-29 11:28:14	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina Genome Analyzer IIx	SRR5486989	SRP105449	PRJNA372989	372989	SRS2153429	SAMN06314526	SRA557924	RNA-Seq	RANDOM	TRANSCRIPTOMIC		JGI	0	0	3993293				6314526	PCC 7942																	
SRX2769891	2017-04-29 11:28:14	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina Genome Analyzer IIx	SRR5486990	SRP105449	PRJNA372989	372989	SRS2153429	SAMN06314526	SRA557924	RNA-Seq	RANDOM	TRANSCRIPTOMIC		JGI	0	0	3993294				6314526	PCC 7942																	
SRX2769892	2017-04-29 11:28:14	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina Genome Analyzer IIx	SRR5486991	SRP105449	PRJNA372989	372989	SRS2153429	SAMN06314526	SRA557924	RNA-Seq	RANDOM	TRANSCRIPTOMIC		JGI	0	0	3993295				6314526	PCC 7942																	
SRX3159653	2017-12-15 12:46:17	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6004392	SRP117070	PRJNA401742	401742	SRS2490787	SAMN07604667	SRA605278	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4460033	GSE103462	GSM2771773		7604667		wild type																
SRX3159654	2017-12-15 12:46:17	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6004393	SRP117070	PRJNA401742	401742	SRS2490788	SAMN07604666	SRA605278	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4460034	GSE103462	GSM2771774		7604666		wild type																
SRX3159655	2017-12-15 12:46:17	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6004394	SRP117070	PRJNA401742	401742	SRS2490789	SAMN07604665	SRA605278	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4460035	GSE103462	GSM2771775		7604665		wild type																
SRX3159656	2017-12-15 12:46:17	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6004395	SRP117070	PRJNA401742	401742	SRS2490790	SAMN07604664	SRA605278	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4460036	GSE103462	GSM2771776		7604664		wild type																
SRX3159657	2017-12-15 12:46:17	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6004396	SRP117070	PRJNA401742	401742	SRS2490791	SAMN07604663	SRA605278	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4460037	GSE103462	GSM2771777		7604663		rel-																
SRX3159658	2017-12-15 12:46:17	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6004397	SRP117070	PRJNA401742	401742	SRS2490792	SAMN07604662	SRA605278	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4460038	GSE103462	GSM2771778		7604662		rel-																
SRX3159659	2017-12-15 12:46:17	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6004398	SRP117070	PRJNA401742	401742	SRS2490795	SAMN07604661	SRA605278	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4460039	GSE103462	GSM2771779		7604661		rel-																
SRX3159660	2017-12-15 12:46:17	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6004399	SRP117070	PRJNA401742	401742	SRS2490793	SAMN07604660	SRA605278	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4460040	GSE103462	GSM2771780		7604660		rel-																
SRX3159661	2017-12-15 12:59:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6004402	SRP117071	PRJNA401777	401777	SRS2490794	SAMN07604659	SRA605279	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4460041	GSE103463	GSM2771781		7604659		rel- + relA+																
SRX3159662	2017-12-15 12:59:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6004403	SRP117071	PRJNA401777	401777	SRS2490797	SAMN07604658	SRA605279	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4460042	GSE103463	GSM2771782		7604658		rel- + relA+																
SRX3159663	2017-12-15 12:59:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6004404	SRP117071	PRJNA401777	401777	SRS2490796	SAMN07604668	SRA605279	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4460043	GSE103463	GSM2771783		7604668		rel- + relA+																
SRX3159664	2017-12-15 12:59:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6004405	SRP117071	PRJNA401777	401777	SRS2490798	SAMN07604669	SRA605279	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4460044	GSE103463	GSM2771784		7604669		rel- + relA+																
SRX3159665	2017-12-15 12:59:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6004406	SRP117071	PRJNA401777	401777	SRS2490799	SAMN07604671	SRA605279	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4460045	GSE103463	GSM2771785		7604671		rel- + relAE335Q																
SRX3159666	2017-12-15 12:59:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6004407	SRP117071	PRJNA401777	401777	SRS2490800	SAMN07604670	SRA605279	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4460046	GSE103463	GSM2771786		7604670		rel- + relAE335Q																
SRX3159667	2017-12-15 12:59:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6004408	SRP117071	PRJNA401777	401777	SRS2490801	SAMN07604673	SRA605279	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4460047	GSE103463	GSM2771787		7604673		rel- + relAE335Q																
SRX3159668	2017-12-15 12:59:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6004409	SRP117071	PRJNA401777	401777	SRS2490802	SAMN07604672	SRA605279	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4460048	GSE103463	GSM2771788		7604672		rel- + relAE335Q																
SRX3172761	2017-12-15 12:47:07	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6021718	SRP117169	PRJNA403840	403840	SRS2502705	SAMN07625319	SRA606632	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4474380	GSE103644	GSM2777217		7625319	PCC 7942	wild type + relA+																
SRX3172762	2017-12-15 12:47:07	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6021719	SRP117169	PRJNA403840	403840	SRS2502706	SAMN07625350	SRA606632	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4474381	GSE103644	GSM2777218		7625350	PCC 7942	wild type + relA+																
SRX3172763	2017-12-15 12:47:07	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6021720	SRP117169	PRJNA403840	403840	SRS2502707	SAMN07625349	SRA606632	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4474382	GSE103644	GSM2777219		7625349	PCC 7942	wild type + relA+																
SRX3172764	2017-12-15 12:47:07	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6021721	SRP117169	PRJNA403840	403840	SRS2502708	SAMN07625348	SRA606632	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4474383	GSE103644	GSM2777220		7625348	PCC 7942	wild type + relAE335Q																
SRX3172765	2017-12-15 12:47:07	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6021722	SRP117169	PRJNA403840	403840	SRS2502709	SAMN07625347	SRA606632	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4474384	GSE103644	GSM2777221		7625347	PCC 7942	wild type + relAE335Q																
SRX3172766	2017-12-15 12:47:07	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6021723	SRP117169	PRJNA403840	403840	SRS2502710	SAMN07625346	SRA606632	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4474385	GSE103644	GSM2777222		7625346	PCC 7942	wild type + relAE335Q																
SRX3176780	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026319	SRP117265	PRJNA404081	404081	SRS2506475	SAMN07629690	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478631	GSE103704	GSM2779437		7629690		wild type replicate 1																
SRX3176781	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026320	SRP117265	PRJNA404081	404081	SRS2506476	SAMN07629689	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478632	GSE103704	GSM2779438		7629689		wild type replicate 1																
SRX3176782	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026321	SRP117265	PRJNA404081	404081	SRS2506477	SAMN07629688	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478633	GSE103704	GSM2779439		7629688		wild type replicate 1																
SRX3176783	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026322	SRP117265	PRJNA404081	404081	SRS2506478	SAMN07629687	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478634	GSE103704	GSM2779440		7629687		wild type replicate 1																
SRX3176784	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026323	SRP117265	PRJNA404081	404081	SRS2506479	SAMN07629686	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478635	GSE103704	GSM2779441		7629686		wild type replicate 1																
SRX3176785	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026324	SRP117265	PRJNA404081	404081	SRS2506480	SAMN07629685	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478636	GSE103704	GSM2779442		7629685		wild type replicate 1																
SRX3176786	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026325	SRP117265	PRJNA404081	404081	SRS2506481	SAMN07629691	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478637	GSE103704	GSM2779443		7629691		wild type replicate 1																
SRX3176787	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026326	SRP117265	PRJNA404081	404081	SRS2506482	SAMN07629656	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478638	GSE103704	GSM2779444		7629656		wild type replicate 1																
SRX3176788	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026327	SRP117265	PRJNA404081	404081	SRS2506483	SAMN07629684	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478639	GSE103704	GSM2779445		7629684		wild type replicate 1																
SRX3176789	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026328	SRP117265	PRJNA404081	404081	SRS2506484	SAMN07629683	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478640	GSE103704	GSM2779446		7629683		rel- replicate 1																
SRX3176790	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026329	SRP117265	PRJNA404081	404081	SRS2506485	SAMN07629682	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478641	GSE103704	GSM2779447		7629682		rel- replicate 1																
SRX3176791	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026330	SRP117265	PRJNA404081	404081	SRS2506486	SAMN07629681	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478642	GSE103704	GSM2779448		7629681		rel- replicate 1																
SRX3176792	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026331	SRP117265	PRJNA404081	404081	SRS2506487	SAMN07629680	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478643	GSE103704	GSM2779449		7629680		rel- replicate 1																
SRX3176793	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026332	SRP117265	PRJNA404081	404081	SRS2506488	SAMN07629673	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478644	GSE103704	GSM2779450		7629673		rel- replicate 1																
SRX3176794	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026333	SRP117265	PRJNA404081	404081	SRS2506489	SAMN07629674	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478645	GSE103704	GSM2779451		7629674		rel- replicate 1																
SRX3176795	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026334	SRP117265	PRJNA404081	404081	SRS2506490	SAMN07629675	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478646	GSE103704	GSM2779452		7629675		rel- replicate 1																
SRX3176796	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026335	SRP117265	PRJNA404081	404081	SRS2506491	SAMN07629679	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478647	GSE103704	GSM2779453		7629679		rel- replicate 1																
SRX3176797	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026336	SRP117265	PRJNA404081	404081	SRS2506492	SAMN07629678	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478648	GSE103704	GSM2779454		7629678		rel- replicate 1																
SRX3176798	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026337	SRP117265	PRJNA404081	404081	SRS2506493	SAMN07629677	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478649	GSE103704	GSM2779455		7629677		wild type replicate 2																
SRX3176799	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026338	SRP117265	PRJNA404081	404081	SRS2506494	SAMN07629676	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478650	GSE103704	GSM2779456		7629676		wild type replicate 2																
SRX3176800	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026339	SRP117265	PRJNA404081	404081	SRS2506495	SAMN07629672	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478651	GSE103704	GSM2779457		7629672		wild type replicate 2																
SRX3176801	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026340	SRP117265	PRJNA404081	404081	SRS2506496	SAMN07629671	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478652	GSE103704	GSM2779458		7629671		wild type replicate 2																
SRX3176802	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026341	SRP117265	PRJNA404081	404081	SRS2506497	SAMN07629670	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478653	GSE103704	GSM2779459		7629670		wild type replicate 2																
SRX3176803	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026342	SRP117265	PRJNA404081	404081	SRS2506498	SAMN07629669	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478654	GSE103704	GSM2779460		7629669		wild type replicate 2																
SRX3176804	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026343	SRP117265	PRJNA404081	404081	SRS2506499	SAMN07629668	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478655	GSE103704	GSM2779461		7629668		wild type replicate 2																
SRX3176805	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026344	SRP117265	PRJNA404081	404081	SRS2506500	SAMN07629667	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478656	GSE103704	GSM2779462		7629667		wild type replicate 2																
SRX3176806	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026345	SRP117265	PRJNA404081	404081	SRS2506501	SAMN07629666	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478657	GSE103704	GSM2779463		7629666		wild type replicate 2																
SRX3176807	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026346	SRP117265	PRJNA404081	404081	SRS2506502	SAMN07629665	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478658	GSE103704	GSM2779464		7629665		rel- replicate 2																
SRX3176808	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026347	SRP117265	PRJNA404081	404081	SRS2506503	SAMN07629664	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478659	GSE103704	GSM2779465		7629664		rel- replicate 2																
SRX3176809	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026348	SRP117265	PRJNA404081	404081	SRS2506504	SAMN07629663	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478660	GSE103704	GSM2779466		7629663		rel- replicate 2																
SRX3176810	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026349	SRP117265	PRJNA404081	404081	SRS2506505	SAMN07629662	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478661	GSE103704	GSM2779467		7629662		rel- replicate 2																
SRX3176811	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026350	SRP117265	PRJNA404081	404081	SRS2506506	SAMN07629661	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478662	GSE103704	GSM2779468		7629661		rel- replicate 2																
SRX3176812	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026351	SRP117265	PRJNA404081	404081	SRS2506507	SAMN07629660	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478663	GSE103704	GSM2779469		7629660		rel- replicate 2																
SRX3176813	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026352	SRP117265	PRJNA404081	404081	SRS2506508	SAMN07629659	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478664	GSE103704	GSM2779470		7629659		rel- replicate 2																
SRX3176814	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026353	SRP117265	PRJNA404081	404081	SRS2506509	SAMN07629658	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478665	GSE103704	GSM2779471		7629658		rel- replicate 2																
SRX3176815	2017-12-15 12:47:05	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR6026354	SRP117265	PRJNA404081	404081	SRS2506510	SAMN07629657	SRA607160	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4478666	GSE103704	GSM2779472		7629657		rel- replicate 2																
SRX3211301	2017-12-18 09:18:10	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR6069416	SRP118803	PRJNA412032	412032	SRS2536063	SAMN07693174	SRA612636	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4520050	GSE104203	GSM2792426	29239721	7693174																		
SRX3211302	2017-12-18 09:18:10	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR6069417	SRP118803	PRJNA412032	412032	SRS2536065	SAMN07693173	SRA612636	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4520051	GSE104203	GSM2792427	29239721	7693173																		
SRX3211303	2017-12-18 09:18:10	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR6069418	SRP118803	PRJNA412032	412032	SRS2536064	SAMN07693172	SRA612636	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	4520052	GSE104203	GSM2792428	29239721	7693172																		
