,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,GEO Series,GEO Sample,PMID,Biosample ID,biosample_strain,biosample_genotype,reference_sequence,project_name,condition_name,reference_sample,post_induction_time,replicate_id,strain_description,base_media,carbon_source,nitrogen_source,inducer_agent,aerobicity,inoculation,supplement,temperature,pH,growth_phase,entraintment_cycles,entraintment_period_per_cycle,OD_wavelength,OD,light_condition,light_intensity ,submission,publication,notes,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,,,
SRX3159658,2017-12-15 12:46:17,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004397,SRP117070,PRJNA401742,401742,SRS2490792,SAMN07604662,SRA605278,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460038,GSE103462,GSM2771778,,7604662,PCC 7942,rel-,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1 ",ppGpp _rel-,rel-_dawn_0m,wt_dawn_0m,CT = 0 (pre-induction),2,mutant_rel-,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3159659,2017-12-15 12:46:17,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004398,SRP117070,PRJNA401742,401742,SRS2490795,SAMN07604661,SRA605278,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460039,GSE103462,GSM2771779,,7604661,PCC 7942,rel-,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1 ",ppGpp _rel-,rel-_dusk_12h,wt_dawn_0m,CT = 12hr,1,mutant_rel-,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3159660,2017-12-15 12:46:17,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004399,SRP117070,PRJNA401742,401742,SRS2490793,SAMN07604660,SRA605278,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460040,GSE103462,GSM2771780,,7604660,PCC 7942,rel-,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1 ",ppGpp _rel-,rel-_dusk_12h,wt_dawn_0m,CT = 12hr,2,mutant_rel-,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3159661,2017-12-15 12:59:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004402,SRP117071,PRJNA401777,401777,SRS2490794,SAMN07604659,SRA605279,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460041,GSE103463,GSM2771781,,7604659,,rel- + relA+,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1 ",ppGpp_ relA+,rel- + relA+ dawn_0m,wt_dawn_0m,CT=0,1,mutant_rel- + relA+,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3159662,2017-12-15 12:59:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004403,SRP117071,PRJNA401777,401777,SRS2490797,SAMN07604658,SRA605279,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460042,GSE103463,GSM2771782,,7604658,,rel- + relA+,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1 ",ppGpp_ relA+,rel- + relA+ dawn_0m,wt_dawn_0m,CT=0,2,mutant_rel- + relA+,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3159663,2017-12-15 12:59:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004404,SRP117071,PRJNA401777,401777,SRS2490796,SAMN07604668,SRA605279,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460043,GSE103463,GSM2771783,,7604668,,rel- + relA+,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1 ",ppGpp_ relA+,rel- + relA+_dusk_12h,wt_dawn_0m,CT=12h,1,mutant_rel- + relA+,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3159664,2017-12-15 12:59:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004405,SRP117071,PRJNA401777,401777,SRS2490798,SAMN07604669,SRA605279,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460044,GSE103463,GSM2771784,,7604669,,rel- + relA+,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1 ",ppGpp_ relA+,rel- + relA+_dusk_12h,wt_dawn_0m,CT=12h,2,mutant_rel- + relA+,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3159665,2017-12-15 12:59:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004406,SRP117071,PRJNA401777,401777,SRS2490799,SAMN07604671,SRA605279,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460045,GSE103463,GSM2771785,,7604671,,rel- + relAE335Q,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1 ",ppGpp_ relA+,rel- + relAE335Q_dawn_0m,wt_dawn_0m,CT=0,1,mutant_rel- + relAE335Q,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3159666,2017-12-15 12:59:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004407,SRP117071,PRJNA401777,401777,SRS2490800,SAMN07604670,SRA605279,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460046,GSE103463,GSM2771786,,7604670,,rel- + relAE335Q,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1 ",ppGpp_ relA+,rel- + relAE335Q_dawn_0m,wt_dawn_0m,CT=0,2,mutant_rel- + relAE335Q,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3159667,2017-12-15 12:59:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004408,SRP117071,PRJNA401777,401777,SRS2490801,SAMN07604673,SRA605279,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460047,GSE103463,GSM2771787,,7604673,,rel- + relAE335Q,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1 ",ppGpp_ relA+,rel- + relAE335Q_dusk_12h,wt_dawn_0m,CT=12h,1,mutant_rel- + relAE335Q,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3159668,2017-12-15 12:59:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004409,SRP117071,PRJNA401777,401777,SRS2490802,SAMN07604672,SRA605279,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460048,GSE103463,GSM2771788,,7604672,,rel- + relAE335Q,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1 ",ppGpp_ relA+,rel- + relAE335Q_dusk_12h,wt_dawn_0m,CT=12h,2,mutant_rel- + relAE335Q,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3172761,2017-12-15 12:47:07,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6021718,SRP117169,PRJNA403840,403840,SRS2502705,SAMN07625319,SRA606632,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4474380,GSE103644,GSM2777217,,7625319,PCC 7942,wild type + relA+,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",ppGpp_theophylline,wt + relA+_0.5h,wt_dawn_0m,0.5 hr since dawn,,,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3172762,2017-12-15 12:47:07,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6021719,SRP117169,PRJNA403840,403840,SRS2502706,SAMN07625350,SRA606632,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4474381,GSE103644,GSM2777218,,7625350,PCC 7942,wild type + relA+,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",ppGpp_theophylline,wt+ relA+_30m,wt_dawn_0m,30m,,,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3172763,2017-12-15 12:47:07,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6021720,SRP117169,PRJNA403840,403840,SRS2502707,SAMN07625349,SRA606632,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4474382,GSE103644,GSM2777219,,7625349,PCC 7942,wild type + relA+,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",ppGpp_theophylline,wt+ relA+ _1h,wt_dawn_0m,1h,,,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3172764,2017-12-15 12:47:07,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6021721,SRP117169,PRJNA403840,403840,SRS2502708,SAMN07625348,SRA606632,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4474383,GSE103644,GSM2777220,,7625348,PCC 7942,wild type + relAE335Q,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",ppGpp_theophylline,wt + relAE335Q _0m,wt_dawn_0m,0m,,,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3172765,2017-12-15 12:47:07,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6021722,SRP117169,PRJNA403840,403840,SRS2502709,SAMN07625347,SRA606632,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4474384,GSE103644,GSM2777221,,7625347,PCC 7942,wild type + relAE335Q,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",ppGpp_theophylline,wt + relAE335Q _30m,wt_dawn_0m,30m,,,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3172766,2017-12-15 12:47:07,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6021723,SRP117169,PRJNA403840,403840,SRS2502710,SAMN07625346,SRA606632,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4474385,GSE103644,GSM2777222,,7625346,PCC 7942,wild type + relAE335Q,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",ppGpp_theophylline,wt + relAE335Q _0m,wt_dawn_0m,0m,,,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3176780,2017-12-15 12:47:05,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6026319,SRP117265,PRJNA404081,404081,SRS2506475,SAMN07629690,SRA607160,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4478631,GSE103704,GSM2779437,,7629690,PCC 7942,wild type replicate 1,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rel-,wt_dusk_0m,wt_dusk_0m,0m,1,wt,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3176781,2017-12-15 12:47:05,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6026320,SRP117265,PRJNA404081,404081,SRS2506476,SAMN07629689,SRA607160,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4478632,GSE103704,GSM2779438,,7629689,PCC 7942,wild type replicate 1,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rel-,wt_dark_5m,wt_dusk_0m,5m,1,wt,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3176782,2017-12-15 12:47:05,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6026321,SRP117265,PRJNA404081,404081,SRS2506477,SAMN07629688,SRA607160,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4478633,GSE103704,GSM2779439,,7629688,PCC 7942,wild type replicate 1,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rel-,wt_dark_15m,wt_dusk_0m,15m,1,wt,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3176783,2017-12-15 12:47:05,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6026322,SRP117265,PRJNA404081,404081,SRS2506478,SAMN07629687,SRA607160,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4478634,GSE103704,GSM2779440,,7629687,PCC 7942,wild type replicate 1,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rel-,wt_dark_30m,wt_dusk_0m,30m,1,wt,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3176784,2017-12-15 12:47:05,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6026323,SRP117265,PRJNA404081,404081,SRS2506479,SAMN07629686,SRA607160,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4478635,GSE103704,GSM2779441,,7629686,PCC 7942,wild type replicate 1,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rel-,wt_dark_1h,wt_dusk_0m,1h,1,wt,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3176785,2017-12-15 12:47:05,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6026324,SRP117265,PRJNA404081,404081,SRS2506480,SAMN07629685,SRA607160,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4478636,GSE103704,GSM2779442,,7629685,PCC 7942,wild type replicate 1,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rel-,wt_dark_2h,wt_dusk_0m,2h,1,wt,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3176786,2017-12-15 12:47:05,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6026325,SRP117265,PRJNA404081,404081,SRS2506481,SAMN07629691,SRA607160,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4478637,GSE103704,GSM2779443,,7629691,PCC 7942,wild type replicate 1,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rel-,wt_dark_4h,wt_dusk_0m,4h,1,wt,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3176787,2017-12-15 12:47:05,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6026326,SRP117265,PRJNA404081,404081,SRS2506482,SAMN07629656,SRA607160,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4478638,GSE103704,GSM2779444,,7629656,PCC 7942,wild type replicate 1,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rel-,wt_dark_8h,wt_dusk_0m,8h,1,wt,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3176788,2017-12-15 12:47:05,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6026327,SRP117265,PRJNA404081,404081,SRS2506483,SAMN07629684,SRA607160,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4478639,GSE103704,GSM2779445,,7629684,PCC 7942,wild type replicate 1,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rel-,wt_dark_12h,wt_dusk_0m,12h,1,wt,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3176789,2017-12-15 12:47:05,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6026328,SRP117265,PRJNA404081,404081,SRS2506484,SAMN07629683,SRA607160,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4478640,GSE103704,GSM2779446,,7629683,PCC 7942,rel- replicate 1,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rel-,rel- _dusk_0,wt_dusk_0m,0m,1,rel-,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3176790,2017-12-15 12:47:05,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6026329,SRP117265,PRJNA404081,404081,SRS2506485,SAMN07629682,SRA607160,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4478641,GSE103704,GSM2779447,,7629682,PCC 7942,rel- replicate 1,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rel-,rel- _dark_5m,wt_dusk_0m,5m,1,rel-,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3176791,2017-12-15 12:47:05,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6026330,SRP117265,PRJNA404081,404081,SRS2506486,SAMN07629681,SRA607160,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4478642,GSE103704,GSM2779448,,7629681,PCC 7942,rel- replicate 1,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rel-,rel- _dark_15m,wt_dusk_0m,15m,1,rel-,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3176792,2017-12-15 12:47:05,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6026331,SRP117265,PRJNA404081,404081,SRS2506487,SAMN07629680,SRA607160,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4478643,GSE103704,GSM2779449,,7629680,PCC 7942,rel- replicate 1,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rel-,rel- _dark_30m,wt_dusk_0m,30m,1,rel-,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3176793,2017-12-15 12:47:05,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6026332,SRP117265,PRJNA404081,404081,SRS2506488,SAMN07629673,SRA607160,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4478644,GSE103704,GSM2779450,,7629673,PCC 7942,rel- replicate 1,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rel-,rel- _dark_1h,wt_dusk_0m,1h,1,rel-,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3176794,2017-12-15 12:47:05,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6026333,SRP117265,PRJNA404081,404081,SRS2506489,SAMN07629674,SRA607160,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4478645,GSE103704,GSM2779451,,7629674,PCC 7942,rel- replicate 1,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rel-,rel- _dark_2h,wt_dusk_0m,2h,1,rel-,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
SRX3176795,2017-12-15 12:47:05,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6026334,SRP117265,PRJNA404081,404081,SRS2506490,SAMN07629675,SRA607160,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4478646,GSE103704,GSM2779452,,7629675,PCC 7942,rel- replicate 1,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rel-,rel- _dark_4h,wt_dusk_0m,4h,1,rel-,BG-11,,,,aerobic,,,30 C,,,2,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,
