Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Object_ID	Accession-2
SYNPCC7942_1580		1644011	1644436	hypothetical protein	SYNPCC7942_1580	SYNPCC7942_1580	SYNPCC7942_RS08070
rluD		1129444	1130385	Pseudouridine synthase, RluD	SYNPCC7942_1115 // SYNPCC7942_1114 // SYNPCC7942_1113 // rluD // SYNPCC7942_1111	SYNPCC7942_1112	SYNPCC7942_RS05700
devB		1244992	1246092	ABC-transporter membrane fusion protein	devB // devC	SYNPCC7942_1224	SYNPCC7942_RS06270
SYNPCC7942_2489		2569594	2569869	conserved hypothetical protein	SYNPCC7942_2489	SYNPCC7942_2489	
SYNPCC7942_0117		115391	116722	thiol methyltransferase 1-like	SYNPCC7942_0117	SYNPCC7942_0117	
SYNPCC7942_0367		359767	360690	Na+-dependent transporter-like	SYNPCC7942_0367	SYNPCC7942_0367	SYNPCC7942_RS01870
SYNPCC7942_0594		581205	582881	conserved hypothetical protein	SYNPCC7942_0595 // SYNPCC7942_0594 // SYNPCC7942_0593 // pfkA	SYNPCC7942_0594	SYNPCC7942_RS03045
cysW		1752002	1752862	sulfate transport system permease protein CysW	cysR // SYNPCC7942_1683 // cysW	SYNPCC7942_1685	SYNPCC7942_RS08585
SYNPCC7942_RS11895		2409252	2410133	cyano_T protein	SYNPCC7942_RS11895 // engA // rfaE	SYNPCC7942_2341	SYNPCC7942_RS11895
SYNPCC7942_1537		1596668	1596877	hypothetical protein	SYNPCC7942_1537	SYNPCC7942_1537	SYNPCC7942_RS07855
cutA		2329449	2329790	periplasmic divalent cation tolerance protein	hisS1 // SYNPCC7942_2262 // cutA	SYNPCC7942_2261	SYNPCC7942_RS11490
SYNPCC7942_1257		1279685	1281532	chloride channel-like	SYNPCC7942_1258 // SYNPCC7942_1257	SYNPCC7942_1257	SYNPCC7942_RS06440
SYNPCC7942_2459		2538622	2539710	conserved hypothetical protein	SYNPCC7942_2459	SYNPCC7942_2459	SYNPCC7942_RS12500
dinD		758390	759037	DNA-damage-inducible protein	dinD	SYNPCC7942_0766	SYNPCC7942_RS03970
SYNPCC7942_0841		835671	837011	putative flavoprotein involved in K+ transport	SYNPCC7942_0841	SYNPCC7942_0841	SYNPCC7942_RS04350
SYNPCC7942_0551		533570	533941	conserved hypothetical protein	SYNPCC7942_0551	SYNPCC7942_0551	SYNPCC7942_RS02805
petE		1104193	1104570	plastocyanin	petE // SYNPCC7942_1087 // hemE	SYNPCC7942_1088	SYNPCC7942_RS05585
ftr1		2492980	2493897	high-affinity iron transporter	ftr1	SYNPCC7942_2421	SYNPCC7942_RS12300
SYNPCC7942_1482		1532605	1534170	conserved hypothetical protein	SYNPCC7942_1482	SYNPCC7942_1482	SYNPCC7942_RS07575
tmk		91029	91676	Thymidylate kinase	holB // tmk	SYNPCC7942_0093	SYNPCC7942_RS00470
SYNPCC7942_1588		1653255	1655834	CBS-domain chloride channel protein	SYNPCC7942_1588	SYNPCC7942_1588	SYNPCC7942_RS08110
SYNPCC7942_2407		2480159	2480938	conserved hypothetical protein	SYNPCC7942_2407 // SYNPCC7942_2406	SYNPCC7942_2407	SYNPCC7942_RS12235
SYNPCC7942_1653		1723540	1724736	Putative uncharacterized protein	SYNPCC7942_1653	SYNPCC7942_1653	SYNPCC7942_RS08430
SYNPCC7942_0522		507941	508312	hypothetical protein	SYNPCC7942_0522	SYNPCC7942_0522	SYNPCC7942_RS02655
trmD		2300665	2301372	tRNA (guanine-N1)-methyltransferase	trmD // ndhN	SYNPCC7942_2235	SYNPCC7942_RS11350
SYNPCC7942_1436		1490759	1491205	conserved hypothetical protein	SYNPCC7942_1436 // menD	SYNPCC7942_1436	SYNPCC7942_RS07345
amiA1		707744	709450	N-acetylmuramoyl-L-alanine amidase	amiA1	SYNPCC7942_0714	SYNPCC7942_RS03660
SYNPCC7942_2370		2438232	2438441	hypothetical protein	SYNPCC7942_2370 // acrF // hlyD3	SYNPCC7942_2370	SYNPCC7942_RS12045
thiE		1067527	1068558	thiamine-phosphate pyrophosphorylase	thiS // thiE // SYNPCC7942_1056 // cpcF // cpcE	SYNPCC7942_1057	SYNPCC7942_RS05420
SYNPCC7942_0493		480967	482451	conserved hypothetical protein	SYNPCC7942_0493	SYNPCC7942_0493	SYNPCC7942_RS02510
SYNPCC7942_0068		67991	68980	ABC type transporter, ATPase component	SYNPCC7942_0068 // SYNPCC7942_0067 // SYNPCC7942_0066	SYNPCC7942_0068	SYNPCC7942_RS00335
SYNPCC7942_1387		1432853	1433680	conserved hypothetical protein	SYNPCC7942_1387	SYNPCC7942_1387	SYNPCC7942_RS07100
SYNPCC7942_1622		1689721	1692192	probable proteinase	SYNPCC7942_1622	SYNPCC7942_1622	SYNPCC7942_RS08275
SYNPCC7942_2311		2379602	2380381	conserved hypothetical protein	SYNPCC7942_2311	SYNPCC7942_2311	SYNPCC7942_RS11750
rplF		2292352	2292891	50S ribosomal subunit protein L6	rplE // rpsH // rplF // rplR // rpsE // rplO	SYNPCC7942_2218	SYNPCC7942_RS11265
SYNPCC7942_0099		100202	100531	hypothetical protein	SYNPCC7942_0099	SYNPCC7942_0099	SYNPCC7942_RS00505
fabG		678025	678774	3-oxoacyl-(acyl-carrier-protein) reductase	fabG	SYNPCC7942_0684	SYNPCC7942_RS03505
SYNPCC7942_0438		427989	428495	hypothetical protein	SYNPCC7942_0438 // sel0033	SYNPCC7942_0438	
SYNPCC7942_1034		1048952	1049815	Transglutaminase-like	SYNPCC7942_1034 // SYNPCC7942_1033 // SYNPCC7942_1032	SYNPCC7942_1034	SYNPCC7942_RS05310
SYNPCC7942_1348		1381032	1381331	hypothetical protein	SYNPCC7942_1351 // SYNPCC7942_1350 // SYNPCC7942_1349 // SYNPCC7942_1348 // SYNPCC7942_1347	SYNPCC7942_1348	SYNPCC7942_RS06890
SYNPCC7942_0041		39441	40745	probable transport protein	SYNPCC7942_0041	SYNPCC7942_0041	SYNPCC7942_RS00205
SYNPCC7942_2275		2343631	2343915	hypothetical protein	SYNPCC7942_2275	SYNPCC7942_2275	
trmH3		1667296	1668033	RNA methyltransferase TrmH, group 1	trmH3	SYNPCC7942_1602	SYNPCC7942_RS08175
SYNPCC7942_0054		56423	57190	conserved hypothetical protein	SYNPCC7942_0059 // rfbC1 // SYNPCC7942_0057 // rfbE // SYNPCC7942_0055 // SYNPCC7942_0054	SYNPCC7942_0054	SYNPCC7942_RS00270
SYNPCC7942_2202		2282672	2283169	HNH nuclease	SYNPCC7942_2202	SYNPCC7942_2202	SYNPCC7942_RS11190
ndhL		403352	403768	NADH dehydrogenase I subunit L	ndhL // SYNPCC7942_0412 // trpA	SYNPCC7942_0413	
SYNPCC7942_0659		653854	655275	Rad3-related DNA helicases-like	SYNPCC7942_0659	SYNPCC7942_0659	SYNPCC7942_RS03375
SYNPCC7942_1302		1330250	1330726	conserved hypothetical protein	SYNPCC7942_1302	SYNPCC7942_1302	SYNPCC7942_RS06660
purU		1020332	1021186	formyltetrahydrofolate deformylase	purU // fumC	SYNPCC7942_1008	SYNPCC7942_RS05175
SYNPCC7942_2200		2280586	2281077	conserved hypothetical protein	SYNPCC7942_2200	SYNPCC7942_2200	SYNPCC7942_RS11175
rpsF		11641	11964	30S ribosomal subunit protein S6	rpsF	SYNPCC7942_0012	SYNPCC7942_RS00060
SYNPCC7942_2194		2272634	2273002	conserved hypothetical protein	SYNPCC7942_2194	SYNPCC7942_2194	SYNPCC7942_RS11145
tatC		1642172	1643011	Sec-independent protein translocase TatC subunit	tatC	SYNPCC7942_1578	SYNPCC7942_RS08060
SYNPCC7942_0011		10998	11474	conserved hypothetical protein	SYNPCC7942_0011	SYNPCC7942_0011	SYNPCC7942_RS00055
SYNPCC7942_2170		2251548	2251997	putative ferric uptake regulator, FUR family	SYNPCC7942_2170	SYNPCC7942_2170	SYNPCC7942_RS11030
SYNPCC7942_0377		371868	372206	conserved hypothetical protein	SYNPCC7942_0377 // SYNPCC7942_0376 // SYNPCC7942_0375	SYNPCC7942_0377	SYNPCC7942_RS01920
nusG		626299	626916	NusG antitermination factor	secE // nusG // rplK	SYNPCC7942_0635	SYNPCC7942_RS03260
SYNPCC7942_1234		1254739	1255242	conserved hypothetical protein	SYNPCC7942_1234	SYNPCC7942_1234	SYNPCC7942_RS06325
deoC		992187	992873	deoxyribose-phosphate aldolase	SYNPCC7942_0985 // recO // deoC // SYNPCC7942_0982	SYNPCC7942_0983	SYNPCC7942_RS05050
SYNPCC7942_2165		2246989	2247369	conserved hypothetical protein	SYNPCC7942_2165	SYNPCC7942_2165	SYNPCC7942_RS11005
ilvC		1609373	1610356	ketol-acid reductoisomerase	ilvC	SYNPCC7942_1552	SYNPCC7942_RS07915
SYNPCC7942_0339		333995	335074	conserved hypothetical protein	SYNPCC7942_0341 // SYNPCC7942_0340 // SYNPCC7942_0339	SYNPCC7942_0339	SYNPCC7942_RS01730
amiA2		2213659	2214708	N-acetylmuramoyl-L-alanine amidase	amiA2	SYNPCC7942_2134	SYNPCC7942_RS10825
SYNPCC7942_1173		1207866	1209134	conserved hypothetical protein	SYNPCC7942_1173	SYNPCC7942_1173	SYNPCC7942_RS06015
SYNPCC7942_0611		599815	602205	MutS2 family protein	SYNPCC7942_0611 // SYNPCC7942_0610	SYNPCC7942_0611	SYNPCC7942_RS03135
SYNPCC7942_2135		2214773	2215456	conserved hypothetical protein	dapB // SYNPCC7942_2135	SYNPCC7942_2135	SYNPCC7942_RS10830
SYNPCC7942_0959		966530	967561	GTP-binding protein	SYNPCC7942_0959	SYNPCC7942_0959	SYNPCC7942_RS04930
SYNPCC7942_0275		269657	269989	conserved hypothetical protein	SYNPCC7942_0275 // SYNPCC7942_0274 // coaE	SYNPCC7942_0275	SYNPCC7942_RS01400
SYNPCC7942_1528		1588817	1589146	conserved hypothetical protein YCF49	SYNPCC7942_1528	SYNPCC7942_1528	SYNPCC7942_RS07810
SYNPCC7942_1147		1171571	1172278	conserved hypothetical protein	SYNPCC7942_1147	SYNPCC7942_1147	SYNPCC7942_RS05875
fmt		2190917	2191900	methionyl-tRNA formyltransferase	fmt	SYNPCC7942_2110	SYNPCC7942_RS10695
SYNPCC7942_2075		2153766	2154017	conserved hypothetical protein	rsgA // SYNPCC7942_2075 // dnaJ1	SYNPCC7942_2075	SYNPCC7942_RS10520
SYNPCC7942_0585		566168	567388	PDZ/DHR/GLGF	SYNPCC7942_0585	SYNPCC7942_0585	SYNPCC7942_RS02975
SYNPCC7942_0229		225658	226221	hypothetical protein	SYNPCC7942_0229	SYNPCC7942_0229	SYNPCC7942_RS01165
SYNPCC7942_0938		944220	944540	putative transcriptional regulator, ArsR family	SYNPCC7942_0938	SYNPCC7942_0938	SYNPCC7942_RS04825
SYNPCC7942_1106		1123678	1124148	conserved hypothetical protein	SYNPCC7942_1106	SYNPCC7942_1106	SYNPCC7942_RS05670
sigF1		1560399	1561178	group3 RNA polymerase sigma factor SigF	sigF1	SYNPCC7942_1510	SYNPCC7942_RS07720
SYNPCC7942_2033		2102330	2103022	conserved hypothetical protein	SYNPCC7942_2033 // SYNPCC7942_2032	SYNPCC7942_2033	SYNPCC7942_RS10315
thrA		2169842	2171179	Homoserine dehydrogenase	thrA	SYNPCC7942_2090	SYNPCC7942_RS10595
SYNPCC7942_0199		200426	201352	conserved hypothetical protein	ccoN // ccoO // SYNPCC7942_0200 // SYNPCC7942_0199 // ndbC	SYNPCC7942_0199	SYNPCC7942_RS01010
hslO		540349	541242	33 kDa chaperonin	SYNPCC7942_0560 // hslO	SYNPCC7942_0559	SYNPCC7942_RS02845
SYNPCC7942_1069		1080999	1081727	conserved hypothetical protein	SYNPCC7942_1070 // SYNPCC7942_1069	SYNPCC7942_1069	SYNPCC7942_RS05485
murE		1534874	1536367	UDP-N-acetylmuramyl-tripeptide synthetase	SYNPCC7942_1486 // SYNPCC7942_1485 // murE // SYNPCC7942_1483	SYNPCC7942_1484	SYNPCC7942_RS07585
mtnB		2063554	2064174	Methylthioribulose-1-phosphate dehydratase	mtnC // mtnB	SYNPCC7942_1993	SYNPCC7942_RS10105
pilT1		2146366	2147454	twitching motility protein	pilT1 // pilC // SYNPCC7942_2068	SYNPCC7942_2070	SYNPCC7942_RS10495
SYNPCC7942_0162		163405	163755	hypothetical protein	SYNPCC7942_0166 // SYNPCC7942_0165 // iojap // SYNPCC7942_0163 // SYNPCC7942_0162	SYNPCC7942_0162	SYNPCC7942_RS00820
SYNPCC7942_0526		510412	511293	ABC-type sugar transport systems permease components-like	SYNPCC7942_0526	SYNPCC7942_0526	SYNPCC7942_RS02675
SYNPCC7942_1031		1046015	1046356	hypothetical protein	SYNPCC7942_1031	SYNPCC7942_1031	
anL22		40470	41786	histidine protein kinase	anL23 // anL22	SYNPCC7942_B2646	SYNPCC7942_RS13560
SYNPCC7942_0985		993654	995036	conserved hypothetical protein	SYNPCC7942_0985 // recO // deoC // SYNPCC7942_0982	SYNPCC7942_0985	SYNPCC7942_RS05060
SYNPCC7942_1457		1510305	1510982	1-acyl-sn-glycerol-3-phosphate acyltransferase domain protein	SYNPCC7942_1457 // fabD // fabH	SYNPCC7942_1457	SYNPCC7942_RS07455
SYNPCC7942_0934		940995	942056	conserved hypothetical protein	SYNPCC7942_0934	SYNPCC7942_0934	SYNPCC7942_RS04805
SYNPCC7942_0490		477395	479440	diguanylate cyclase (GGDEF domain) with PAS/PAC sensor	SYNPCC7942_0490	SYNPCC7942_0490	SYNPCC7942_RS02495
SYNPCC7942_1947		2022089	2023540	conserved hypothetical protein	SYNPCC7942_1947	SYNPCC7942_1947	SYNPCC7942_RS09880
psaA		2123745	2126036	PsaA	psaA // psaB	SYNPCC7942_2049	SYNPCC7942_RS10395
SYNPCC7942_0899		908498	909295	conserved hypothetical protein	SYNPCC7942_0899	SYNPCC7942_0899	SYNPCC7942_RS04635
cobA1		2692153	2692950	uroporphyrin-III C-methyltransferase	cobA1	SYNPCC7942_2610	SYNPCC7942_RS13295
SYNPCC7942_1899		1972290	1972778	conserved hypothetical protein	SYNPCC7942_1899	SYNPCC7942_1899	SYNPCC7942_RS09630
argC		1486983	1488041	N-acetyl-gamma-glutamyl-phosphate reductase	argC	SYNPCC7942_1433	SYNPCC7942_RS07330
SYNPCC7942_0863		866027	867208	conserved hypothetical protein	SYNPCC7942_0863	SYNPCC7942_0863	SYNPCC7942_RS04450
secG		454806	455045	preprotein translocase, SecG subunit	pgmM // secG // SYNPCC7942_0467	SYNPCC7942_0468	SYNPCC7942_RS02385
SYNPCC7942_1845		1911652	1911879	conserved hypothetical protein	SYNPCC7942_1845	SYNPCC7942_1845	SYNPCC7942_RS09360
nusA		2090378	2091703	NusA antitermination factor	nusA // SYNPCC7942_2021	SYNPCC7942_2022	SYNPCC7942_RS10260
SYNPCC7942_2264		2332654	2332929	transcriptional regulator, LuxR family	SYNPCC7942_2264	SYNPCC7942_2264	SYNPCC7942_RS11505
SYNPCC7942_0826		820693	821628	conserved hypothetical protein	SYNPCC7942_0826	SYNPCC7942_0826	SYNPCC7942_RS04270
SYNPCC7942_2581		2667018	2667386	Ferredoxin (2Fe-2S)	suhB // SYNPCC7942_2581	SYNPCC7942_2581	SYNPCC7942_RS13145
SYNPCC7942_1819		1892346	1892930	conserved hypothetical protein	SYNPCC7942_1819	SYNPCC7942_1819	SYNPCC7942_RS09235
leuA2		1461949	1463571	2-isopropylmalate synthase	leuA2	SYNPCC7942_1410	SYNPCC7942_RS07215
SYNPCC7942_0789		784844	785167	conserved hypothetical protein	SYNPCC7942_0789	SYNPCC7942_0789	SYNPCC7942_RS04085
rpsN		436519	436821	30S ribosomal subunit protein S14	SYNPCC7942_0448 // end3 // rpsN	SYNPCC7942_0446	SYNPCC7942_RS02280
SYNPCC7942_1776		1840742	1840999	hypothetical protein	SYNPCC7942_1776	SYNPCC7942_1776	SYNPCC7942_RS09025
mtnC		2064180	2064896	2,3-diketo-5-methylthio-1-phosphopentane phosphatase	mtnC // mtnB	SYNPCC7942_1994	SYNPCC7942_RS10110
SYNPCC7942_0758		751959	752381	hypothetical protein	SYNPCC7942_0758 // SYNPCC7942_0757	SYNPCC7942_0758	
hoxU		2635638	2636354	NAD-reducing hydrogenase HoxS &gamma; subunit	hypA // hypB // hoxU // hoxY // hoxH // SYNPCC7942_2554	SYNPCC7942_2557	SYNPCC7942_RS12995
SYNPCC7942_1748		1818990	1819751	conserved hypothetical protein	SYNPCC7942_1750 // petF4 // SYNPCC7942_1748 // SYNPCC7942_1747	SYNPCC7942_1748	SYNPCC7942_RS08895
SYNPCC7942_1381		1424685	1426610	ATP-binding component of ABC transporter	SYNPCC7942_1381	SYNPCC7942_1381	SYNPCC7942_RS07070
anL56.5		22166	22417	hypothetical protein	anL56.5 // anL56	SYNPCC7942_B2652	SYNPCC7942_RS13470
prfB		397595	398509	peptide chain release factor 2	prfB // SYNPCC7942_0403 // SYNPCC7942_0402	SYNPCC7942_0404	SYNPCC7942_RS02060
SYNPCC7942_0734		729177	731051	conserved hypothetical protein	SYNPCC7942_0734 // SYNPCC7942_0733 // SYNPCC7942_0732	SYNPCC7942_0734	SYNPCC7942_RS03795
uppP		2037772	2038638	undecaprenol kinase, putative	uppP	SYNPCC7942_1967	SYNPCC7942_RS09980
SYNPCC7942_1695		1762639	1763637	conserved hypothetical protein	SYNPCC7942_1695	SYNPCC7942_1695	SYNPCC7942_RS08630
SYNPCC7942_2534		2614395	2615660	diguanylate cyclase (GGDEF domain)	SYNPCC7942_2534	SYNPCC7942_2534	SYNPCC7942_RS12865
parB		497	1321	partitioning protein ParB	parA // parB	SYNPCC7942_B2626	SYNPCC7942_RS13640
SYNPCC7942_1355		1388109	1390898	Two-component response regulator	SYNPCC7942_1357 // SYNPCC7942_1356 // SYNPCC7942_1355	SYNPCC7942_1355	SYNPCC7942_RS06925
SYNPCC7942_0709		700511	700840	conserved hypothetical protein	SYNPCC7942_0709	SYNPCC7942_0709	SYNPCC7942_RS03635
metY		363763	365067	O-acetylhomoserine/O-acetylserine sulfhydrylase	SYNPCC7942_0372 // metA // metY	SYNPCC7942_0370	SYNPCC7942_RS01885
SYNPCC7942_1657		1728453	1728674	hypothetical protein	SYNPCC7942_1657	SYNPCC7942_1657	SYNPCC7942_RS08450
SYNPCC7942_1938		2011214	2012275	multidrug-efflux transporter	SYNPCC7942_1938	SYNPCC7942_1938	SYNPCC7942_RS09835
SYNPCC7942_2591		2674605	2675273	conserved hypothetical protein	SYNPCC7942_2591 // SYNPCC7942_2590	SYNPCC7942_2591	SYNPCC7942_RS13195
SYNPCC7942_2509		2589234	2589887	HAD-superfamily IA hydrolase, REG-2-like	SYNPCC7942_2509 // ndbB	SYNPCC7942_2509	SYNPCC7942_RS12730
SYNPCC7942_0671		666156	666653	conserved hypothetical protein	SYNPCC7942_0671 // pyrB // mpg	SYNPCC7942_0671	SYNPCC7942_RS03435
mfd		1357232	1360693	transcription-repair coupling factor	mfd	SYNPCC7942_1326	SYNPCC7942_RS06780
SYNPCC7942_1626		1695068	1695550	conserved hypothetical protein	SYNPCC7942_1627 // SYNPCC7942_1626	SYNPCC7942_1626	SYNPCC7942_RS08295
birA		338536	339306	Biotin--acetyl-CoA-carboxylase ligase	birA	SYNPCC7942_0345	SYNPCC7942_RS01760
SYNPCC7942_2533		2613998	2614378	conserved hypothetical protein	SYNPCC7942_2533	SYNPCC7942_2533	SYNPCC7942_RS12860
aroH		1991020	1991412	chorismate mutase	aroH	SYNPCC7942_1915	SYNPCC7942_RS09720
SYNPCC7942_0627		620462	621226	conserved hypothetical protein	SYNPCC7942_0627 // tRNA-Gln1	SYNPCC7942_0627	SYNPCC7942_RS03220
phyA2		2560946	2561848	Prolyl 4-hydroxylase	SYNPCC7942_2481 // phyA2	SYNPCC7942_2480	SYNPCC7942_RS12600
SYNPCC7942_1565		1622970	1623410	conserved hypothetical protein	ppk // SYNPCC7942_1565	SYNPCC7942_1565	SYNPCC7942_RS07995
SYNPCC7942_1307		1334181	1334996	putative ABC-2 type transport system permease protein	SYNPCC7942_1309 // trpS // SYNPCC7942_1307	SYNPCC7942_1307	SYNPCC7942_RS06685
SYNPCC7942_2486		2566725	2568305	conserved hypothetical protein	SYNPCC7942_2486 // SYNPCC7942_2485	SYNPCC7942_2486	
CcdA		320046	320804	cytochrome c biogenesis protein	ftsW1 // CcdA // resB	SYNPCC7942_0323	SYNPCC7942_RS01645
SYNPCC7942_0582		563020	564024	conserved hypothetical protein	SYNPCC7942_0582 // SYNPCC7942_0581	SYNPCC7942_0582	SYNPCC7942_RS02960
SYNPCC7942_1887		1959524	1960816	probable mannosyltransferase	SYNPCC7942_1888 // SYNPCC7942_1887	SYNPCC7942_1887	SYNPCC7942_RS09570
SYNPCC7942_1526		1585287	1586078	conserved hypothetical protein	SYNPCC7942_1526	SYNPCC7942_1526	SYNPCC7942_RS07800
apt		2532100	2533374	adenine phosphoribosyltransferase	apt	SYNPCC7942_2454	
SYNPCC7942_2447		2524094	2524315	conserved hypothetical protein	SYNPCC7942_2447	SYNPCC7942_2447	SYNPCC7942_RS12435
moaD		1305960	1306232	molybdopterin synthase subunit 1	moaCB // moaD // moaE // moaA	SYNPCC7942_1284	SYNPCC7942_RS06575
SYNPCC7942_0548		530623	531783	conserved hypothetical protein	SYNPCC7942_0548	SYNPCC7942_0548	SYNPCC7942_RS02790
MreB		298398	299435	cell shape determining protein, MreB/Mrl family	MreB // mreC // SYNPCC7942_0298	SYNPCC7942_0300	SYNPCC7942_RS01530
SYNPCC7942_1476		1527717	1528031	conserved hypothetical protein	SYNPCC7942_1476	SYNPCC7942_1476	SYNPCC7942_RS07545
SYNPCC7942_1863		1933701	1934582	HemK family methyltransferase	SYNPCC7942_1864 // SYNPCC7942_1863 // SYNPCC7942_1862	SYNPCC7942_1863	SYNPCC7942_RS09450
SYNPCC7942_2403		2477464	2477748	conserved hypothetical protein	SYNPCC7942_2403	SYNPCC7942_2403	SYNPCC7942_RS12210
ileS		2509504	2512368	isoleucyl-tRNA synthetase	ileS	SYNPCC7942_2437	SYNPCC7942_RS12380
SYNPCC7942_0519		505620	506138	hypothetical protein	SYNPCC7942_0519	SYNPCC7942_0519	SYNPCC7942_RS02635
hoxE		273657	274154	NAD-reducing hydrogenase HoxS &epsilon; subunit	hoxF // hoxE	SYNPCC7942_0278	SYNPCC7942_RS01415
SYNPCC7942_1429		1482857	1483267	conserved hypothetical protein	SYNPCC7942_1429	SYNPCC7942_1429	SYNPCC7942_RS07310
SYNPCC7942_1842		1908945	1910213	Transposase, IS605 OrfB	SYNPCC7942_1842	SYNPCC7942_1842	SYNPCC7942_RS09345
SYNPCC7942_2364		2430162	2430767	conserved hypothetical protein	SYNPCC7942_2364 // SYNPCC7942_2363	SYNPCC7942_2364	SYNPCC7942_RS12010
SYNPCC7942_2412		2484439	2485251	Band 7 protein	SYNPCC7942_2413 // SYNPCC7942_2412	SYNPCC7942_2412	SYNPCC7942_RS12260
SYNPCC7942_0133		133915	134754	conserved hypothetical protein	SYNPCC7942_0134 // SYNPCC7942_0133	SYNPCC7942_0133	SYNPCC7942_RS00675
nrtC		1258978	1260957	nitrate transport ATP-binding subunit C	nrtD // nrtC // nrtB // nrtA // narB // nirA	SYNPCC7942_1237	SYNPCC7942_RS06340
SYNPCC7942_0483		468776	469219	conserved hypothetical protein	SYNPCC7942_0483 // ftsI	SYNPCC7942_0483	SYNPCC7942_RS02460
SYNPCC7942_0255		251503	252783	ATPase	SYNPCC7942_0255	SYNPCC7942_0255	SYNPCC7942_RS01300
SYNPCC7942_1378		1419926	1421167	conserved hypothetical protein	SYNPCC7942_1378	SYNPCC7942_1378	SYNPCC7942_RS07050
SYNPCC7942_1810		1878956	1880710	flavoprotein	SYNPCC7942_1810	SYNPCC7942_1810	SYNPCC7942_RS09195
SYNPCC7942_2301		2370542	2370814	hypothetical protein	SYNPCC7942_2301	SYNPCC7942_2301	SYNPCC7942_RS11695
panB		2448076	2448882	3-methyl-2-oxobutanoate hydroxymethyltransferase	panB	SYNPCC7942_2381	SYNPCC7942_RS12100
SYNPCC7942_0088		86547	87269	conserved hypothetical protein	SYNPCC7942_0088	SYNPCC7942_0088	SYNPCC7942_RS00435
SYNPCC7942_0913		921286	921780	N-acetyltransferase-like	SYNPCC7942_0916 // aroD // SYNPCC7942_0914 // SYNPCC7942_0913	SYNPCC7942_0913	SYNPCC7942_RS04695
SYNPCC7942_0434		425057	426064	conserved hypothetical protein	SYNPCC7942_0436 // SYNPCC7942_0435 // SYNPCC7942_0434	SYNPCC7942_0434	SYNPCC7942_RS02220
kaiA		1240557	1241411	KaiA monomer	kaiA	SYNPCC7942_1218	SYNPCC7942_RS06240
SYNPCC7942_1338		1372863	1373645	conserved hypothetical protein	SYNPCC7942_1338	SYNPCC7942_1338	SYNPCC7942_RS06840
SYNPCC7942_0231		227407	227931	putative acetyltransferase	aroA // SYNPCC7942_0231	SYNPCC7942_0231	SYNPCC7942_RS01175
SYNPCC7942_2267		2335846	2336103	hypothetical protein	SYNPCC7942_2267	SYNPCC7942_2267	SYNPCC7942_RS11520
SYNPCC7942_1786		1853723	1854250	conserved hypothetical protein YCF51	SYNPCC7942_1787 // SYNPCC7942_1786 // SYNPCC7942_1785	SYNPCC7942_1786	SYNPCC7942_RS09075
SYNPCC7942_0050		50070	52616	conserved hypothetical protein	SYNPCC7942_0050	SYNPCC7942_0050	SYNPCC7942_RS00250
ppiB		2421202	2421726	Peptidylprolyl isomerase	ppiB	SYNPCC7942_2354	SYNPCC7942_RS11960
SYNPCC7942_0409		401464	401748	hypothetical protein	SYNPCC7942_0410 // SYNPCC7942_0409	SYNPCC7942_0409	SYNPCC7942_RS02085
tuf		889697	890926	translation elongation factor Tu	SYNPCC7942_0885 // tuf	SYNPCC7942_0884	SYNPCC7942_RS04555
SYNPCC7942_1288		1311028	1311534	conserved hypothetical protein	SYNPCC7942_1288	SYNPCC7942_1288	SYNPCC7942_RS06595
plsC1		1221676	1222398	Phospholipid/glycerol acyltransferase	plsC1	SYNPCC7942_1193	SYNPCC7942_RS06110
SYNPCC7942_2187		2265698	2266102	conserved hypothetical protein	menF // SYNPCC7942_2187	SYNPCC7942_2187	SYNPCC7942_RS11115
SYNPCC7942_0197		197572	198933	folate/biopterin transporter	SYNPCC7942_0197 // bcmo1	SYNPCC7942_0197	SYNPCC7942_RS01000
SYNPCC7942_0007		8189	8539	hypothetical protein	SYNPCC7942_0008 // SYNPCC7942_0007 // SYNPCC7942_0006	SYNPCC7942_0007	SYNPCC7942_RS00035
petF4		1819754	1820146	4Fe-4S ferredoxin	SYNPCC7942_1750 // petF4 // SYNPCC7942_1748 // SYNPCC7942_1747	SYNPCC7942_1749	SYNPCC7942_RS08900
SYNPCC7942_0372		366053	366853	conserved hypothetical protein	SYNPCC7942_0372 // metA // metY	SYNPCC7942_0372	
petD		2399369	2399851	PetD	petD	SYNPCC7942_2332	SYNPCC7942_RS11855
SYNPCC7942_1212		1235830	1236090	conserved hypothetical protein	SYNPCC7942_1212 // mobA2 // SYNPCC7942_1210 // SYNPCC7942_1209	SYNPCC7942_1212	SYNPCC7942_RS06205
purM		847233	848258	phosphoribosylformylglycinamidine cyclo-ligase	purM	SYNPCC7942_0851	SYNPCC7942_RS04395
SYNPCC7942_2161		2243880	2244536	conserved hypothetical protein	SYNPCC7942_2161 // spt	SYNPCC7942_2161	SYNPCC7942_RS10980
lnt		1206148	1207596	apolipoprotein N-acyltransferase	lnt // SYNPCC7942_1171	SYNPCC7942_1172	SYNPCC7942_RS06010
SYNPCC7942_0318		315642	316097	conserved hypothetical protein	SYNPCC7942_0318	SYNPCC7942_0318	SYNPCC7942_RS01620
