,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,Biosample,GEO Series,GEO Sample,PMID,biosample_strain,biosample_genotype,project,condition,ref_condition,post_induction_time,replicate_id,sample,strain_description,media,carbon_ml/min,carbon_source,nitrogen_source,inducer_agent,aerobicity,inoculation,supplement,temperature,pH,growth_phase,entraintment,post_entraintment_condition,OD_wavelength,OD,fluorescent light,light_flux_umol/m2s,light_flux_mol/m2s,light_intensity,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,passed_global_correlation.1,Source,full_name,passed_similar_replicates
SRX2356929,2017-02-15 16:19:01,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031880,SRP093663,PRJNA354335,354335,SRS1805789,SAMN06033591,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439817,6033591,GSE89999,GSM2395376,28430105,PCC 7942,"rpaA- ""clock rescue""",rpaA,del_2dark_120,wt_1dusk_000,2h post dusk,,rpaA_del_2dark_120_,"rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,,0.4% glucose,,IPTG,aerobic,Gentamycin; kanamycin,0.4% (w/v) glucose,30 C,Not reported,Not reported,12 hr one light/dark cycles,darkness,750,0.2,cool,40,4E-05,40 _E m-2 s-1 (moles photons m-2 s-1),True,True,True,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5400509/,rpaA:del_2dark_120,False
SRX2356933,2017-02-15 16:19:01,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031884,SRP093663,PRJNA354335,354335,SRS1805793,SAMN06033587,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439821,6033587,GSE89999,GSM2395380,28430105,PCC 7942,"rpaA- ""clock rescue""",rpaA,del_3dawn_005,wt_1dusk_000,5m post dawn,,rpaA_del_3dawn_005_,"rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,,0.4% glucose,,IPTG,aerobic,Gentamycin; kanamycin,0.4% (w/v) glucose,30 C,Not reported,Not reported,12 hr one light/dark cycles,darkness,750,0.2,cool,40,4E-05,40 _E m-2 s-1 (moles photons m-2 s-1),True,True,True,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5400509/,rpaA:del_3dawn_005,False
SRX2356934,2017-02-15 16:19:01,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031885,SRP093663,PRJNA354335,354335,SRS1805794,SAMN06033586,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439822,6033586,GSE89999,GSM2395381,28430105,PCC 7942,"rpaA- ""clock rescue""",rpaA,del_3dawn_015,wt_1dusk_000,15m post dawn,,rpaA_del_3dawn_015_,"rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,,0.4% glucose,,IPTG,aerobic,Gentamycin; kanamycin,0.4% (w/v) glucose,30 C,Not reported,Not reported,12 hr one light/dark cycles,darkness,750,0.2,cool,40,4E-05,40 _E m-2 s-1 (moles photons m-2 s-1),True,True,True,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5400509/,rpaA:del_3dawn_015,False
SRX2356935,2017-02-15 16:19:01,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031886,SRP093663,PRJNA354335,354335,SRS1805795,SAMN06033585,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439823,6033585,GSE89999,GSM2395382,28430105,PCC 7942,"rpaA- ""clock rescue""",rpaA,del_3dawn_030,wt_1dusk_000,30m post dawn,,rpaA_del_3dawn_030_,"rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,,0.4% glucose,,IPTG,aerobic,Gentamycin; kanamycin,0.4% (w/v) glucose,30 C,Not reported,Not reported,12 hr one light/dark cycles,darkness,750,0.2,cool,40,4E-05,40 _E m-2 s-1 (moles photons m-2 s-1),True,True,True,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5400509/,rpaA:del_3dawn_030,False
SRX259777,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807396,SRP020509,PRJNA196229,196229,SRS408053,SAMN01999000,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364625,1999000,GSE45762,GSM1113860,23919451,7942,wild type,FFA,wt_100h,wt_100h,100h,1,FFA_wt_100h_1,wild type,solid BG-11/agar,1.00%,CO2,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,Not reported,Not reported,730,0.15,cool white; plant,60,6E-05,60 _mol photons m-2 s-1,True,True,True,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3750487/#S3, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3428126/",FFA:wt_100h,True
SRX259778,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807397,SRP020509,PRJNA196229,196229,SRS408054,SAMN01999001,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364626,1999001,GSE45762,GSM1113861,23919451,7942,wild type,FFA,wt_100h,wt_100h,100h,2,FFA_wt_100h_2,wild type,solid BG-11/agar,1.00%,CO2,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,Not reported,Not reported,730,0.15,cool white; plant,60,6E-05,60 _mol photons m-2 s-1,True,True,True,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3750487/#S3, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3428126/",FFA:wt_100h,True
SRX259779,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807398,SRP020509,PRJNA196229,196229,SRS408055,SAMN01999002,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364627,1999002,GSE45762,GSM1113862,23919451,7942,wild type,FFA,wt_100h,wt_100h,100h,3,FFA_wt_100h_3,wild type,solid BG-11/agar,1.00%,CO2,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,Not reported,Not reported,730,0.15,cool white; plant,60,6E-05,60 _mol photons m-2 s-1,True,True,True,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3750487/#S3, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3428126/",FFA:wt_100h,True
SRX259780,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807399,SRP020509,PRJNA196229,196229,SRS408056,SAMN01999003,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364628,1999003,GSE45762,GSM1113863,23919451,7942,wild type,FFA,wt_240h,wt_100h,240h,1,FFA_wt_240h_1,wild type,solid BG-11/agar,1.00%,CO2,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,Not reported,Not reported,730,0.15,cool white; plant,60,6E-05,60 _mol photons m-2 s-1,True,True,True,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3750487/#S3, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3428126/",FFA:wt_240h,True
SRX259781,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807400,SRP020509,PRJNA196229,196229,SRS408057,SAMN01999004,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364629,1999004,GSE45762,GSM1113864,23919451,7942,wild type,FFA,wt_240h,wt_100h,240h,2,FFA_wt_240h_2,wild type,solid BG-11/agar,1.00%,CO2,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,Not reported,Not reported,730,0.15,cool white; plant,60,6E-05,60 _mol photons m-2 s-1,True,True,True,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3750487/#S3, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3428126/",FFA:wt_240h,True
SRX259782,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807401,SRP020509,PRJNA196229,196229,SRS408058,SAMN01999005,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364630,1999005,GSE45762,GSM1113865,23919451,7942,wild type,FFA,wt_240h,wt_100h,240h,3,FFA_wt_240h_3,wild type,solid BG-11/agar,1.00%,CO2,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,Not reported,Not reported,730,0.15,cool white; plant,60,6E-05,60 _mol photons m-2 s-1,True,True,True,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3750487/#S3, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3428126/",FFA:wt_240h,True
SRX259783,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807402,SRP020509,PRJNA196229,196229,SRS408059,SAMN01999006,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364631,1999006,GSE45762,GSM1113866,23919451,SE01,delta-aas,FFA,del_aas_100h,wt_100h,100h,1,FFA_del_aas_100h_1,mutant_del_aas(acyl-ACP Synthase),solid BG-11/agar,1.00%,CO2,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,Not reported,Not reported,730,0.15,cool white; plant,60,6E-05,60 _mol photons m-2 s-1,True,True,True,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3750487/#S3, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3428126/",FFA:del_aas_100h,True
SRX259784,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807403,SRP020509,PRJNA196229,196229,SRS408060,SAMN01999007,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364632,1999007,GSE45762,GSM1113867,23919451,SE01,delta-aas,FFA,del_aas_100h,wt_100h,100h,2,FFA_del_aas_100h_2,mutant_del_aas(acyl-ACP Synthase),solid BG-11/agar,1.00%,CO2,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,Not reported,Not reported,730,0.15,cool white; plant,60,6E-05,60 _mol photons m-2 s-1,True,True,True,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3750487/#S3, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3428126/",FFA:del_aas_100h,True
SRX259785,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807404,SRP020509,PRJNA196229,196229,SRS408061,SAMN01999008,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364633,1999008,GSE45762,GSM1113868,23919451,SE01,delta-aas,FFA,del_aas_100h,wt_100h,100h,3,FFA_del_aas_100h_3,mutant_del_aas(acyl-ACP Synthase),solid BG-11/agar,1.00%,CO2,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,Not reported,Not reported,730,0.15,cool white; plant,60,6E-05,60 _mol photons m-2 s-1,True,True,True,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3750487/#S3, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3428126/",FFA:del_aas_100h,True
SRX259786,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807405,SRP020509,PRJNA196229,196229,SRS408062,SAMN01999009,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364634,1999009,GSE45762,GSM1113869,23919451,SE01,delta-aas,FFA,del_aas_240h,wt_100h,240h,1,FFA_del_aas_240h_1,mutant_del_aas(acyl-ACP Synthase),solid BG-11/agar,1.00%,CO2,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,Not reported,Not reported,730,0.15,cool white; plant,60,6E-05,60 _mol photons m-2 s-1,True,True,True,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3750487/#S3, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3428126/",FFA:del_aas_240h,True
SRX259787,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807406,SRP020509,PRJNA196229,196229,SRS408063,SAMN01999010,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364635,1999010,GSE45762,GSM1113870,23919451,SE01,delta-aas,FFA,del_aas_240h,wt_100h,240h,2,FFA_del_aas_240h_2,mutant_del_aas(acyl-ACP Synthase),solid BG-11/agar,1.00%,CO2,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,Not reported,Not reported,730,0.15,cool white; plant,60,6E-05,60 _mol photons m-2 s-1,True,True,True,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3750487/#S3, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3428126/",FFA:del_aas_240h,True
SRX259788,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807407,SRP020509,PRJNA196229,196229,SRS408064,SAMN01999011,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364636,1999011,GSE45762,GSM1113871,23919451,SE01,delta-aas,FFA,del_aas_240h,wt_100h,240h,3,FFA_del_aas_240h_3,mutant_del_aas(acyl-ACP Synthase),solid BG-11/agar,1.00%,CO2,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,Not reported,Not reported,730,0.15,cool white; plant,60,6E-05,60 _mol photons m-2 s-1,True,True,True,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3750487/#S3, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3428126/",FFA:del_aas_240h,True
SRX259791,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807410,SRP020509,PRJNA196229,196229,SRS408067,SAMN01999014,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364639,1999014,GSE45762,GSM1113874,23919451,SE02,"delta-aas, 'tesA",FFA,del_ass_tesA_240h,wt_100h,240h,1,FFA_del_ass_tesA_240h_1,mutant_del_aas(acyl-ACP Synthase)_add_thioesterase,solid BG-11/agar,1.00%,CO2,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,Not reported,Not reported,730,0.15,cool white; plant,60,6E-05,60 _mol photons m-2 s-1,True,True,True,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3750487/#S3, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3428126/",FFA:del_ass_tesA_240h,True
SRX259792,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807411,SRP020509,PRJNA196229,196229,SRS408068,SAMN01999015,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364640,1999015,GSE45762,GSM1113875,23919451,SE02,"delta-aas, 'tesA",FFA,del_ass_tesA_240h,wt_100h,240h,2,FFA_del_ass_tesA_240h_2,mutant_del_aas(acyl-ACP Synthase)_add_thioesterase,solid BG-11/agar,1.00%,CO2,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,Not reported,Not reported,730,0.15,cool white; plant,60,6E-05,60 _mol photons m-2 s-1,True,True,True,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3750487/#S3, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3428126/",FFA:del_ass_tesA_240h,True
SRX259793,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807412,SRP020509,PRJNA196229,196229,SRS408069,SAMN01999016,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364641,1999016,GSE45762,GSM1113876,23919451,SE02,"delta-aas, 'tesA",FFA,del_ass_tesA_240h,wt_100h,240h,3,FFA_del_ass_tesA_240h_3,mutant_del_aas(acyl-ACP Synthase)_add_thioesterase,solid BG-11/agar,1.00%,CO2,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,Not reported,Not reported,730,0.15,cool white; plant,60,6E-05,60 _mol photons m-2 s-1,True,True,True,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3750487/#S3, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3428126/",FFA:del_ass_tesA_240h,True
SRX3159653,2017-12-15 12:46:17,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004392,SRP117070,PRJNA401742,401742,SRS2490787,SAMN07604667,SRA605278,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460033,7604667,GSE103462,GSM2771773,,PCC 7942,wild type,ppGpp,0wt_dawn_000,0wt_dawn_000,CT = 0; 0m,1,ppGpp_0wt_dawn_000_1,wild type,BG-11,,,,theophylline,aerobic,,,30 C,,,two cycles dark/light/dark,constant light; harvested at dawn and dusk,750,0.015,cool,40,4E-05,40 _moles photons m-2 s-1,True,True,True,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,ppGpp:0wt_dawn_000,True
SRX3159654,2017-12-15 12:46:17,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004393,SRP117070,PRJNA401742,401742,SRS2490788,SAMN07604666,SRA605278,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460034,7604666,GSE103462,GSM2771774,,PCC 7942,wild type,ppGpp,0wt_dawn_000,0wt_dawn_000,CT = 0; 0m,2,ppGpp_0wt_dawn_000_2,wild type,BG-11,,,,theophylline,aerobic,,,30 C,,,two cycles dark/light/dark,constant light; harvested at dawn and dusk,750,0.015,cool,40,4E-05,40 _moles photons m-2 s-1,True,True,True,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,ppGpp:0wt_dawn_000,True
SRX3159655,2017-12-15 12:46:17,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004394,SRP117070,PRJNA401742,401742,SRS2490789,SAMN07604665,SRA605278,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460035,7604665,GSE103462,GSM2771775,,PCC 7942,wild type,ppGpp,0wt_dusk_000,0wt_dawn_000,CT = 12; 0m,1,ppGpp_0wt_dusk_000_1,wild type,BG-11,,,,theophylline,aerobic,,,30 C,,,two cycles dark/light/dark,constant light; harvested at dawn and dusk,750,0.015,cool,40,4E-05,40 _moles photons m-2 s-1,True,True,True,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,ppGpp:0wt_dusk_000,True
SRX3159656,2017-12-15 12:46:17,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004395,SRP117070,PRJNA401742,401742,SRS2490790,SAMN07604664,SRA605278,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460036,7604664,GSE103462,GSM2771776,,PCC 7942,wild type,ppGpp,0wt_dusk_000,0wt_dawn_000,CT = 12; 0m,2,ppGpp_0wt_dusk_000_2,wild type,BG-11,,,,theophylline,aerobic,,,30 C,,,two cycles dark/light/dark,constant light; harvested at dawn and dusk,750,0.015,cool,40,4E-05,40 _moles photons m-2 s-1,True,True,True,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,ppGpp:0wt_dusk_000,True
SRX3159657,2017-12-15 12:46:17,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004396,SRP117070,PRJNA401742,401742,SRS2490791,SAMN07604663,SRA605278,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460037,7604663,GSE103462,GSM2771777,,PCC 7942,rel-,ppGpp,1rel_dawn_000,0wt_dawn_000,CT = 0; 0m,1,ppGpp_1rel_dawn_000_1,rel-,BG-11,,,,theophylline,aerobic,,,30 C,,,two cycles dark/light/dark,constant light; harvested at dawn and dusk,750,0.015,cool,40,4E-05,40 _moles photons m-2 s-1,True,True,True,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,ppGpp:1rel_dawn_000,True
SRX3159658,2017-12-15 12:46:17,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004397,SRP117070,PRJNA401742,401742,SRS2490792,SAMN07604662,SRA605278,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460038,7604662,GSE103462,GSM2771778,,PCC 7942,rel-,ppGpp,1rel_dawn_000,0wt_dawn_000,CT = 0; 0m,2,ppGpp_1rel_dawn_000_2,rel-,BG-11,,,,theophylline,aerobic,,,30 C,,,two cycles dark/light/dark,constant light; harvested at dawn and dusk,750,0.015,cool,40,4E-05,40 _moles photons m-2 s-1,True,True,True,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,ppGpp:1rel_dawn_000,True
SRX3159659,2017-12-15 12:46:17,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004398,SRP117070,PRJNA401742,401742,SRS2490795,SAMN07604661,SRA605278,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460039,7604661,GSE103462,GSM2771779,,PCC 7942,rel-,ppGpp,1rel_dusk_000,0wt_dawn_000,CT = 12; 0m,1,ppGpp_1rel_dusk_000_1,rel-,BG-11,,,,theophylline,aerobic,,,30 C,,,two cycles dark/light/dark,constant light; harvested at dawn and dusk,750,0.015,cool,40,4E-05,40 _moles photons m-2 s-1,True,True,True,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,ppGpp:1rel_dusk_000,True
SRX3159660,2017-12-15 12:46:17,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004399,SRP117070,PRJNA401742,401742,SRS2490793,SAMN07604660,SRA605278,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460040,7604660,GSE103462,GSM2771780,,PCC 7942,rel-,ppGpp,1rel_dusk_000,0wt_dawn_000,CT = 12; 0m,2,ppGpp_1rel_dusk_000_2,rel-,BG-11,,,,theophylline,aerobic,,,30 C,,,two cycles dark/light/dark,constant light; harvested at dawn and dusk,750,0.015,cool,40,4E-05,40 _moles photons m-2 s-1,True,True,True,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,ppGpp:1rel_dusk_000,True
SRX3159661,2017-12-15 12:59:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004402,SRP117071,PRJNA401777,401777,SRS2490794,SAMN07604659,SRA605279,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460041,7604659,GSE103463,GSM2771781,,PCC 7942,rel- + relA+,ppGpp,2rel_relA+_dawn_000,0wt_dawn_000,CT = 0; 0m,1,ppGpp_2rel_relA+_dawn_000_1,rel- + relA+,BG-11,,,,theophylline,aerobic,,,30 C,,,two cycles dark/light/dark,constant light; harvested at dawn and dusk,750,0.015,cool,40,4E-05,40 _moles photons m-2 s-1,True,True,True,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,ppGpp:2rel_relA+_dawn_000,True
SRX3159662,2017-12-15 12:59:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004403,SRP117071,PRJNA401777,401777,SRS2490797,SAMN07604658,SRA605279,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460042,7604658,GSE103463,GSM2771782,,PCC 7942,rel- + relA+,ppGpp,2rel_relA+_dawn_000,0wt_dawn_000,CT = 0; 0m,2,ppGpp_2rel_relA+_dawn_000_2,rel- + relA+,BG-11,,,,theophylline,aerobic,,,30 C,,,two cycles dark/light/dark,constant light; harvested at dawn and dusk,750,0.015,cool,40,4E-05,40 _moles photons m-2 s-1,True,True,True,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,ppGpp:2rel_relA+_dawn_000,True
